country,pings,devices,pop_k
Afghanistan,205894.8148,17454.25926,40864.868
Albania,717505.2593,14980.59259,2821.649
Algeria,2232539.704,165257.6296,45831.343
Andorra,3721.481481,30.92592593,80.294
Angola,247991.1852,13671.2963,36186.956
Anguilla,1219.592593,141.2592593,14.297
Antigua and Barbuda,35161.59259,1984.962963,93.082
Argentina,42470884.44,2383999.148,45459.024
Armenia,783061.2963,37413,2902.348
Australia,207366507.3,8414533.519,26320.802
Austria,5123502.519,202242.9259,9136.103
Azerbaijan,1695847.704,38349.25926,10331.625
Bahrain,851760.0741,33324.40741,1551.527
Bangladesh,10681218.93,858727,170426.512
Barbados,151229.963,4599.037037,282.296
Belarus,3419410.704,41113.81481,9145.462
Belgium,12046979.07,397179.2593,11698.104
Belize,183622.7037,3720.111111,408.114
Benin,87769.96296,8380.592593,13934.166
Bermuda,7207.814815,346.1111111,64.724
Bhutan,13572.07407,739.2222222,783.664
Bolivia (Plurinational State of),2257021.926,63323.74074,12159.495
Bosnia and Herzegovina,645660.2963,14400.96296,3194.466
Botswana,108041.037,5174.037037,2459.937
Brazil,1047611542,54766125.11,210707
British Virgin Islands,6900.888889,54.51851852,38.643
Brunei Darussalam,319498.3333,5032.37037,457.028
Bulgaria,1494122.037,11259.03704,6813.384
Burkina Faso,101927.5926,10263.96296,22765.636
Burundi,1372.666667,46.22222222,13503.998
Cambodia,2410895.556,57474.40741,17314.678
Cameroon,143648.1111,5518.592593,27997.833
Canada,392499805.9,17630421.89,39059.725
Cayman Islands,13631.51852,845.0740741,72.32
Central African Republic,195.7407407,17.51851852,5064.592
Chad,24113.7037,4638.444444,18767.684
Chile,16232866.89,1076763.407,19603.239
"China, Hong Kong SAR",17702079.78,377161.1111,7452.391
"China, Taiwan Province of China",49207682.78,903263.963,23370.002
Colombia,22593806.3,2342539.222,52032.604
Comoros,433.8148148,15.25925926,842.267
Congo,29735.88889,2765.518519,6108.142
Cook Islands,1001.37037,3.37037037,14.477
Costa Rica,2879142.148,67567.11111,5092.976
